"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Volirhynchia","Volirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Sinorhynchiidae",201.3,247.2,68,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,8,4,2
"Cirpa","Cirpa","Brachiopoda","Rhynchonellata","Rhynchonellida","Wellerellidae",174.1,247.2,94,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Balatonospira","Balatonospira","Brachiopoda","Rhynchonellata","Spiriferinida","Balatonospiridae",212,247.2,11,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Dinarispira","Dinarispira","Brachiopoda","Rhynchonellata","Spiriferinida","Balatonospiridae",235,247.2,32,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,10,3,2
"Bittnerula","Bittnerula","Brachiopoda","Rhynchonellata","Spiriferinida","Bittnerulidae",232,242,4,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Flabellocyrtia","Flabellocyrtia","Brachiopoda","Rhynchonellata","Spiriferinida","Bittnerulidae",235,242,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Hirsutella","Hirsutella","Brachiopoda","Rhynchonellata","Spiriferinida","Bittnerulidae",221.5,247.2,16,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,3,1,2
"Thecocyrtella","Thecocyrtella","Brachiopoda","Rhynchonellata","Spiriferinida","Bittnerulidae",215.56,247.2,10,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Cyrtina","Cyrtina","Brachiopoda","Rhynchonellata","Spiriferinida","Cyrtinidae",237,247.2,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,2,2
"Pseudolaballa","Pseudolaballa","Brachiopoda","Rhynchonellata","Spiriferinida","Laballidae",228,242,7,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Costispiriferina","Costispiriferina","Brachiopoda","Rhynchonellata","Spiriferinida","Lepismatinidae",201.3,247.2,23,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Lepismatina","Lepismatina","Brachiopoda","Rhynchonellata","Spiriferinida","Lepismatinidae",201.3,252.17,63,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Koeveskallina","Koeveskallina","Brachiopoda","Rhynchonellata","Spiriferinida","Mentzeliidae",237,247.2,69,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,11,3,2
