"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Schwagerispira","Schwagerispira","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",208.5,247.2,77,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,7,3,5
"Pseudokoninckina","Pseudokoninckina","Brachiopoda","Rhynchonellata","Athyridida","NO_FAMILY_SPECIFIED",228,242,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Spirigera","Spirigera","Brachiopoda","Rhynchonellata","Athyridida","NO_FAMILY_SPECIFIED",201.3,247.2,30,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,6,4,2
"Retzia","Retzia","Brachiopoda","Rhynchonellata","Athyridida","Retziidae",228,247.2,11,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Caucasorhynchia","Caucasorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",201.3,247.2,32,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,5,1,1
"Maorirhynchia","Maorirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",212,247.2,113,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Neofascicosta","Neofascicosta","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",215.56,237,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Septaliphorioidea","Septaliphorioidea","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",228,247.2,30,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Decurtella","Decurtella","Brachiopoda","Rhynchonellata","Rhynchonellida","Austrirhynchidae",208.5,247.2,64,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Excavatorhynchia","Excavatorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Austrirhynchidae",208.5,237,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Trigonirhynchella","Trigonirhynchella","Brachiopoda","Rhynchonellata","Rhynchonellida","Austrirhynchidae",201.3,247.2,8,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Veghirhynchia","Veghirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",201.3,242,17,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,11,3,2
"Costirhynchopsis","Costirhynchopsis","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",201.3,247.2,89,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,7,4,3
"Fissirhynchia","Fissirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",201.3,232,106,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Timorhynchia","Timorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",201.3,237,17,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Yidunella","Yidunella","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",201.3,237,10,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Crurirhynchia","Crurirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Erymnariidae",201.3,237,7,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Halorella","Halorella","Brachiopoda","Rhynchonellata","Rhynchonellida","Halorellidae",201.3,237,19,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,2,2
