"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Clarkina","Clarkina","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED",247.2,265.1,81,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,8,1,2
"Gladigondolella","Gladigondolella","Chordata","Conodonta","Conodontophorida","NO_FAMILY_SPECIFIED",201.3,251.3,56,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,1,1,1
"Hindeodus","Hindeodus","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED",242,265.1,195,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,1,1,1
"Lonchodina","Lonchodina","Chordata","Conodonta","Conodontophorida","Prioniodidae",228,252.17,17,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,5,2,4
"Neogondolella","Neogondolella","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED",235,254.17,147,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,11,5,4
"Neohindeodella","Neohindeodella","Chordata","Conodonta","Conodontophorida","NO_FAMILY_SPECIFIED",201.3,252.17,13,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,3,1,2
"Neoprioniodus","Neoprioniodus","Chordata","Conodonta","Conodontophorida","NO_FAMILY_SPECIFIED",242,252.17,3,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,2,1,2
"Parachirognathus","Parachirognathus","Chordata","Conodonta","Conodontophorida","NO_FAMILY_SPECIFIED",247.2,252.17,2,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,2,2,2
"Platyvillosus","Platyvillosus","Chordata","Conodonta","Conodontophorida","NO_FAMILY_SPECIFIED",247.2,251.3,1,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,1,1,1
"Prioniodina","Prioniodina","Chordata","Conodonta","Conodontophorida","NO_FAMILY_SPECIFIED",228,251.3,6,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,1,1,1
"Aduncodina","Aduncodina","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",247.2,251.3,1,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,1,1,1
"Chiosella","Chiosella","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",242,251.3,14,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,6,1,3
