tiering,motility,feeding,protein,reproduction,mineralogy,physiology,geoplates,species,PTr_size,PTr_extProb,TrJ_size,TrJ_extProb,KPg_size,KPg_extProb,total_size
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,2.0,3.0,0.0,,1.0,0.0,2.0,0.5,3.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,2.0,2.0,0.0,,0.0,,3.0,0.3333333333333333,3.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,2.0,1.0,1.0,1.0,2.0,1.0,0.0,,3.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,heavy carbonate load,1.0,2.0,3.0,1.0,0.0,,0.0,,3.0
epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,2.0,3.0,3.0,1.0,0.0,,0.0,,3.0
epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,2.0,2.0,3.0,1.0,0.0,,0.0,,3.0
erect,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,1.0,1.0,0.0,,1.0,1.0,2.0,0.0,3.0
erect,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,2.0,2.0,0.0,,0.0,,3.0,0.3333333333333333,3.0
semi-infaunal,"facultative, attached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,4.0,3.0,0.0,,2.5,0.6,0.0,,2.5
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,2.0,3.0,0.0,,0.5,1.0,2.0,0.5,2.5
epifaunal,"slow, motile",grazer,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,2.0,0.0,,0.0,,2.5,0.6,2.5
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,4.0,0.0,,0.5,0.0,2.0,0.5,2.5
epifaunal,"slow, motile",predator,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,2.0,0.0,,0.0,,2.5,0.6,2.5
